time,latitude,longitude,depth,magnitude,magType,nst,gap,dmin,rms,net,id,updated,place,type,horizontalError,depthError,magError,magNst,status,locationSource,magSource
2021-06-01T04:30:17.144Z,-24.3277,-115.7557,10,4.9,mb,,228,6.359,0.74,us,us6000eghh,2021-06-01T04:48:38.040Z,southern East Pacific Rise,earthquake,14.8,1.9,0.034,276,reviewed,us,us
2021-06-01T04:29:02.490Z,33.4051667,-116.4716667,-0.13,0.42,ml,9,234,0.1846,0.23,ci,ci39912160,2021-06-01T04:32:40.739Z,"19km NNW of Borrego Springs, CA",earthquake,1.42,31.61,0.111,5,automatic,ci,ci
2021-06-01T04:27:52.960Z,33.6703333,-116.7296667,13.24,0.94,ml,36,77,0.04273,0.18,ci,ci39912152,2021-06-01T04:31:25.773Z,"8km S of Idyllwild, CA",earthquake,0.27,0.48,0.168,26,automatic,ci,ci
2021-06-01T04:26:12.020Z,33.6661667,-116.7365,13.7,1.57,ml,48,40,0.04859,0.16,ci,ci39912144,2021-06-01T04:37:20.010Z,"8km S of Idyllwild, CA",earthquake,0.2,0.35,0.249,27,automatic,ci,ci
2021-06-01T04:25:38.550Z,33.6681667,-116.7285,12.26,0.73,ml,19,87,0.04452,0.11,ci,ci39912136,2021-06-01T04:29:05.701Z,"8km S of Idyllwild, CA",earthquake,0.28,0.59,0.103,9,automatic,ci,ci
2021-06-01T04:24:42.200Z,33.6596667,-116.7395,13.54,2.49,ml,87,19,0.05554,0.23,ci,ci39912128,2021-06-01T04:35:13.330Z,"9km SSW of Idyllwild, CA",earthquake,0.19,0.37,0.223,26,automatic,ci,ci
2021-06-01T04:23:40.823Z,65.8404,-151.0302,9.7,1.4,ml,,,,0.94,ak,ak0216zg7i3q,2021-06-01T04:28:37.766Z,"54 km NW of Rampart, Alaska",earthquake,,0.2,,,automatic,ak,ak
2021-06-01T04:21:20.978Z,44.4938,-115.2505,10,3.6,ml,,92,0.798,0.57,us,us6000eghc,2021-06-01T06:23:14.466Z,"39 km NW of Stanley, Idaho",earthquake,1.9,2,0.031,136,reviewed,us,us
2021-06-01T04:09:32.363Z,62.4774,-148.285,41.2,1.1,ml,,,,0.71,ak,ak0216zg4hf8,2021-06-01T04:12:15.658Z,"76 km N of Chickaloon, Alaska",earthquake,,0.8,,,automatic,ak,ak
2021-06-01T04:02:03.003Z,31.60509194,-104.2485026,6.671435547,3.1,ml,14,70,0.17520364,0.3,tx,tx2021kqey,2021-06-01T04:23:28.040Z,"53 km NW of Toyah, Texas",earthquake,1.268451584,2.142997485,0.2,8,reviewed,tx,tx
